categoria;subcategoria;prestacion;tipo_prestacion;fecha_ingreso;hora_ingreso;hora_redondeada;domicilio_comuna;domicilio_barrio;domiclio_calle;domicilio_altura;lat;lon;canal;genero;estado_del_contacto;fecha_cierre_contacto;hora_cierre_contacto;Column1;_1
ARBOLADO Y ESPACIOS VERDES;PODA DE ÁRBOL Y DESPEJE DE LUMINARIA;PODA DE ÁRBOL/DESPEJE DE LUMINARIA O SEMÁFORO;Solicitud;23/08/2021;00:14;12:00:00 AM;12;VILLA URQUIZA;RIVERA; PEDRO I.; DR.;5318;-34.57352804;-58.49092098;GCS Web;Masculino;Abierto;;;;
TRÁNSITO;VEHÍCULOS ABANDONADOS;REMOCIÓN DE VEHÍCULO / AUTO ABANDONADO;Solicitud;23/08/2021;00:14;12:00:00 AM;12;COGHLAN;AZURDUY JUANA;3354;-34.55552368;-58.47509603;GCS Web;Femenino;Abierto;;;;
CALLES Y VEREDAS;Nivelación;REPARACIÓN/NIVELACIÓN DE TAPA DE EMPRESA DE SERVICIO PÚBLICO EN VEREDA;Solicitud;23/08/2021;00:14;12:00:00 AM;1;SAN TELMO;INDEPENDENCIA AV.;343;-34.6170999;-58.37071782;App BA 147;Masculino;Cerrado;25/08/2021;0:00:00;;
LIMPIEZA Y RECOLECCIÓN;RESIDUOS VOLUMINOSOS;RETIRO DE RESIDUOS VOLUMINOSOS (MUEBLES Y ELECTRODOMÉSTICOS);Servicio;24/08/2021;00:14;12:00:00 AM;15;VILLA CRESPO;GALLARDO; ANGEL AV.;743;-34.6059859;-58.44100983;GCS Web;Masculino;Cerrado;25/08/2021;0:00:00;;
LIMPIEZA Y RECOLECCIÓN;RESIDUOS VOLUMINOSOS;RETIRO DE ESCOMBROS / RESTOS DE OBRA;Servicio;19/08/2021;00:15;12:30:00 AM;6;CABALLITO;AMBROSETTI; JUAN B.;597;-34.61141653;-58.43800653;GCS Web;Masculino;Cerrado;22/08/2021;0:00:00;;
BARRIOS EMERGENTES;DESAGOTE;DESAGOTE DE POZO CIEGO (ATMOSFÉRICO);Solicitud;19/08/2021;00:15;12:30:00 AM;4;BARRACAS;;;-34.65481859;-58.39848128;Operador UGIS;;Cerrado;20/08/2021;0:00:00;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;22/08/2021;00:15;12:30:00 AM;14;PALERMO;ARAOZ;1754;-34.5905577;-58.42287013;App BA 147;Femenino;Abierto;;;;
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;HIGIENE DEFICIENTE EN ESTABLECIMIENTO CON VENTA O ELABORACIÓN DE ALIMENTOS;Denuncia;19/08/2021;00:15;12:30:00 AM;10;MONTE CASTRO;CALDERON DE LA BARCA; PEDRO;1587;-34.62496367;-58.50770467;GCS Web;Masculino;Cerrado;26/08/2021;0:00:00;;
TRÁMITES Y SERVICIOS;ACCESO A LA INFORMACIÓN PÚBLICA;ACCESO A LA INFORMACIÓN PÚBLICA;Solicitud;20/08/2021;00:16;12:30:00 AM;;;;;;;GCS Web;Femenino;Abierto;;;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;24/08/2021;00:16;12:30:00 AM;3;BALVANERA;GOMEZ; VALENTIN;3048;-34.60535002;-58.40883843;App Denuncia Vial;Femenino;Abierto;;;;
ORDENAMIENTO DEL ESPACIO PÚBLICO;OCUPACIÓN INDEBIDA;OCUPACIÓN INDEBIDA DE LA VEREDA/CALZADA POR LOCAL COMERCIAL;Denuncia;22/08/2021;00:16;12:30:00 AM;13;COLEGIALES;MATIENZO; BENJAMIN; TENIENTE;2830;-34.57639789;-58.4432072;GCS Web;Masculino;Abierto;;;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;24/08/2021;00:16;12:30:00 AM;13;BELGRANO;MENDOZA;1767;-34.55763983;-58.45178621;App BA 147;Femenino;Abierto;;;;
CONTROL EDILICIO; OBRAS Y CATASTRO;CONTROL DE OBRAS;CONSTRUCCIÓN SIN PERMISO O SIN CARTEL REGLAMENTARIO CON CÓDIGO QR;Denuncia;21/08/2021;00:16;12:30:00 AM;10;VILLA REAL;LOZANO; PEDRO;5475;-34.61951296;-58.52198161;App BA 147;Masculino;Abierto;;;;
BARRIOS EMERGENTES;DESAGOTE;DESAGOTE DE POZO CIEGO (ATMOSFÉRICO);Solicitud;19/08/2021;00:17;12:30:00 AM;4;BARRACAS;;;-34.65481859;-58.39848128;Operador UGIS;;Cerrado;20/08/2021;0:00:00;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;21/08/2021;00:17;12:30:00 AM;7;FLORES;;;-34.64565049;-58.4419436;Operador UGIS;;Cerrado;26/08/2021;0:00:00;;
