categoria;subcategoria;prestacion;tipo_prestacion;fecha_ingreso;hora_ingreso;hora_redondeada;domicilio_comuna;domicilio_barrio;domiclio_calle;domicilio_altura;lat;lon;canal;genero;estado_del_contacto;fecha_cierre_contacto;hora_cierre_contacto;Column1;_1
CALLES Y VEREDAS;REPARACIÓN DE VEREDA;REPARACIÓN DE VEREDA;Solicitud;20/6/2021;11:55:32 PM;00:00;15;PATERNAL;CUCHA CUCHA;2702;-345.998.718.141.708;-584.667.525.472.753;GCS Web;Femenino;Abierto;;;;
ALUMBRADO;REPARACIÓN DE LUMINARIA;REPARACIÓN DE LUMINARIA APAGADA DURANTE LA NOCHE;Solicitud;21/6/2021;12:11:40 AM;00:00;4;BOCA;"SALVADORES; CNEL.";1166;-346.445.780.355.362;-583.664.345.993.814;GCS Web;Femenino;Cerrado;23/6/2021;9:49:06 AM;;
ALUMBRADO;REPARACIÓN DE LUMINARIA;REPARACIÓN DE LUMINARIA APAGADA DURANTE LA NOCHE;Solicitud;21/6/2021;11:46:48 PM;00:00;3;BALVANERA;"JAURES; JEAN";566;-346.033.393.611.251;-584.086.668.679.469;App BA 147;Masculino;Cerrado;23/6/2021;9:28:12 AM;;
SALUD Y SERVICIOS SOCIALES;VIOLACIÓN DE CUARENTENA POR CORONAVIRUS;VIOLACIÓN DE CUARENTENA POR CORONAVIRUS;Denuncia;21/6/2021;12:13:32 AM;00:00;;;;;;;GCS Web;Femenino;Abierto;;;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;19/6/2021;11:54:49 PM;00:00;7;FLORES;FRAY CAYETANO RODRIGUEZ;1099;-346.183.714.978.838;-584.682.890.435.301;Boti;Masculino;Cerrado;22/6/2021;8:05:47 AM;;
LIMPIEZA Y RECOLECCIÓN;RESIDUOS VOLUMINOSOS;RETIRO DE ESCOMBROS / RESTOS DE OBRA;Servicio;19/6/2021;12:09:03 AM;00:00;2;RECOLETA;MONTEVIDEO;1063;-345.963.869.953.977;-583.898.467.887.563;GCS Web;Femenino;Cerrado;22/6/2021;10:37:07 AM;;
LIMPIEZA Y RECOLECCIÓN;RESIDUOS VOLUMINOSOS;RETIRO DE RESTOS DE JARDINERÍA DOMICILIARIA;Servicio;21/6/2021;11:50:59 PM;00:00;4;BARRACAS;"IRIARTE; GRAL. AV.";2785;-346.503.214.251.631;-583.852.393.163.936;GCS Web;Masculino;Cerrado;22/6/2021;8:56:46 PM;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;19/6/2021;11:46:05 PM;00:00;15;VILLA URQUIZA;LA PAMPA;;-345.803.680.702.052;-584.811.287.016.421;App Denuncia Vial;Masculino;Cerrado;22/6/2021;8:05:47 AM;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;20/6/2021;11:53:29 PM;00:00;13;NUÑEZ;"PEDRAZA; MANUELA";2441;-345.519.529.582.872;-58.466.769.550.817;App Denuncia Vial;Masculino;Cerrado;22/6/2021;8:07:21 AM;;
LIMPIEZA Y RECOLECCIÓN;CESTOS Y CONTENEDORES;VACIADO DE CESTO PAPELERO;Queja;21/6/2021;11:51:22 PM;00:00;3;BALVANERA;"JAURES; JEAN";467;-346.044.219.325.214;-584.089.948.505.153;App BA 147;Masculino;Cerrado;22/6/2021;7:45:07 AM;;
FISCALIZACIÓN ACTIVIDADES COMERCIALES;DEFENSA AL CONSUMIDOR;INCUMPLIMIENTOS A LOS DERECHOS DEL CONSUMIDOR;Denuncia;21/6/2021;11:57:54 PM;00:00;2;RECOLETA;CORDOBA AV.;1475;-345.992.518.366.817;-583.877.773.854.446;App BA 147;Masculino;Cerrado;28/6/2021;5:44:43 PM;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;MEJORA DE BARRIDO;Queja;21/6/2021;11:48:43 PM;00:00;3;BALVANERA;"JAURES; JEAN";575;-346.032.193.252.262;-584.085.294.020.188;App BA 147;Masculino;Cerrado;22/6/2021;7:44:59 AM;;
RECICLADO Y PROTECCIÓN AMBIENTAL;"RUIDOS MOLESTOS; EMANACIONES O DERRAMES";RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;21/6/2021;11:56:01 PM;00:00;12;VILLA URQUIZA;GALVAN;2876;-345.687.726.891.727;-584.858.776.209.431;App BA 147;Masculino;Cerrado;22/6/2021;1:34:23 PM;;
LIMPIEZA Y RECOLECCIÓN;RESIDUOS VOLUMINOSOS;RETIRO DE ESCOMBROS / RESTOS DE OBRA;Servicio;21/6/2021;11:46:13 PM;00:00;13;COLEGIALES;AGUILAR;2842;-345.727.417.873.013;-584.504.621.886.061;App BA 147;Masculino;Cerrado;23/6/2021;11:32:30 AM;;
LIMPIEZA Y RECOLECCIÓN;RESIDUOS VOLUMINOSOS;RETIRO DE RESTOS DE JARDINERÍA DOMICILIARIA;Servicio;21/6/2021;11:56:59 PM;00:00;13;COLEGIALES;ZABALA;3075;-345.741.059.516.966;-584.539.528.518.509;App BA 147;Masculino;Cerrado;23/6/2021;11:32:34 AM;;
LIMPIEZA Y RECOLECCIÓN;RESIDUOS VOLUMINOSOS;RETIRO DE ESCOMBROS / RESTOS DE OBRA;Servicio;21/6/2021;12:08:13 AM;00:00;6;CABALLITO;THOMPSON;512;-346.250.616.937.626;-58.439.185.522.709;GCS Web;Masculino;Cerrado;23/6/2021;11:30:24 AM;;
